Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
 127,   8.277e-01,  -3.877e+00,   1.967e-02,       0.094,       0.000,       0.996,   1.758e-03,      0.3344
 128,   8.156e-01,  -3.877e+00,   2.080e-02,       0.091,       0.000,       0.996,   1.804e-03,      0.3423
 129,   8.033e-01,  -3.877e+00,   2.192e-02,       0.089,       0.000,       0.996,   1.848e-03,      0.3501
 130,   7.907e-01,  -3.877e+00,   2.303e-02,       0.086,       0.000,       0.996,   1.890e-03,      0.3578
 131,   7.778e-01,  -3.877e+00,   2.414e-02,       0.083,       0.000,       0.997,   1.930e-03,      0.3656
 132,   7.646e-01,  -3.877e+00,   2.522e-02,       0.080,       0.000,       0.997,   1.969e-03,      0.3734
 133,   7.511e-01,  -3.877e+00,   2.629e-02,       0.077,       0.000,       0.997,   2.005e-03,      0.3812
 134,   7.374e-01,  -3.877e+00,   2.734e-02,       0.074,       0.000,       0.997,   2.040e-03,      0.3892
 135,   7.235e-01,  -3.877e+00,   2.837e-02,       0.071,       0.000,       0.997,   2.072e-03,      0.3973
 136,   7.093e-01,  -3.877e+00,   2.936e-02,       0.068,       0.000,       0.998,   2.102e-03,      0.4055
 137,   6.949e-01,  -3.877e+00,   3.033e-02,       0.065,       0.000,       0.998,   2.131e-03,      0.4139
 138,   6.804e-01,  -3.877e+00,   3.126e-02,       0.061,       0.000,       0.998,   2.157e-03,      0.4226
 139,   6.657e-01,  -3.877e+00,   3.215e-02,       0.058,       0.000,       0.998,   2.181e-03,      0.4315
 140,   6.508e-01,  -3.877e+00,   3.300e-02,       0.055,       0.000,       0.998,   2.203e-03,      0.4407
 141,   6.357e-01,  -3.877e+00,   3.382e-02,       0.051,       0.000,       0.999,   2.223e-03,      0.4502
 142,   6.205e-01,  -3.877e+00,   3.459e-02,       0.048,       0.000,       0.999,   2.241e-03,      0.4600
 143,   6.052e-01,  -3.877e+00,   3.531e-02,       0.045,       0.000,       0.999,   2.256e-03,      0.4703
 144,   5.898e-01,  -3.877e+00,   3.599e-02,       0.041,       0.000,       0.999,   2.269e-03,      0.4810
 145,   5.743e-01,  -3.877e+00,   3.661e-02,       0.038,       0.000,       0.999,   2.280e-03,      0.4922
 146,   5.588e-01,  -3.877e+00,   3.719e-02,       0.034,       0.000,       0.999,   2.289e-03,      0.5040
 147,   5.431e-01,  -3.877e+00,   3.771e-02,       0.031,       0.000,       1.000,   2.296e-03,      0.5164
 148,   5.275e-01,  -3.877e+00,   3.819e-02,       0.028,       0.000,       1.000,   2.300e-03,      0.5295
 149,   5.118e-01,  -3.877e+00,   3.860e-02,       0.024,       0.000,       1.000,   2.302e-03,      0.5437
 150,   4.961e-01,  -3.877e+00,   3.897e-02,       0.020,       0.000,       1.000,   2.302e-03,      0.5584
 151,   4.804e-01,  -3.877e+00,   3.928e-02,       0.017,       0.000,       1.000,   2.299e-03,      0.5736
 152,   4.647e-01,  -3.877e+00,   3.953e-02,       0.013,       0.000,       1.000,   2.295e-03,      0.5904
 153,   4.490e-01,  -3.877e+00,   3.972e-02,       0.010,       0.000,       1.000,   2.288e-03,      0.6090
 154,   4.334e-01,  -3.877e+00,   3.987e-02,       0.007,       0.000,       1.000,   2.279e-03,      0.6301
 155,   4.179e-01,  -3.877e+00,   3.995e-02,       0.003,       0.000,       1.000,   2.267e-03,      0.6563
 156,   4.025e-01,  -3.877e+00,   3.999e-02,      -0.001,       0.000,       1.000,   2.254e-03,      0.6872
 157,   3.871e-01,  -3.877e+00,   3.994e-02,      -0.008,       0.000,       1.000,   2.238e-03,      0.7146
 158,   3.719e-01,  -3.877e+00,   3.979e-02,      -0.016,       0.000,       1.000,   2.220e-03,      0.7372
 159,   3.568e-01,  -3.877e+00,   3.952e-02,      -0.024,       0.000,       1.000,   2.200e-03,      0.7563
 160,   3.418e-01,  -3.877e+00,   3.913e-02,      -0.031,       0.000,       1.000,   2.179e-03,      0.7751
 161,   3.270e-01,  -3.877e+00,   3.865e-02,      -0.038,       0.000,       0.999,   2.155e-03,      0.7933
 162,   3.123e-01,  -3.877e+00,   3.806e-02,      -0.046,       0.000,       0.999,   2.129e-03,      0.8112
 163,   2.978e-01,  -3.877e+00,   3.737e-02,      -0.053,       0.000,       0.999,   2.101e-03,      0.8292
 164,   2.836e-01,  -3.877e+00,   3.660e-02,      -0.060,       0.000,       0.998,   2.071e-03,      0.8478
 165,   2.695e-01,  -3.877e+00,   3.573e-02,      -0.067,       0.000,       0.998,   2.039e-03,      0.8634
 166,   2.557e-01,  -3.877e+00,   3.478e-02,      -0.074,       0.000,       0.997,   2.005e-03,      0.8799
 167,   2.421e-01,  -3.877e+00,   3.375e-02,      -0.080,       0.000,       0.997,   1.969e-03,      0.8971
 168,   2.288e-01,  -3.877e+00,   3.266e-02,      -0.087,       0.000,       0.996,   1.931e-03,      0.9150
 169,   2.157e-01,  -3.877e+00,   3.150e-02,      -0.093,       0.000,       0.996,   1.891e-03,      0.9341
 170,   2.030e-01,  -3.877e+00,   3.028e-02,      -0.099,       0.000,       0.995,   1.850e-03,      0.9540
 171,   1.905e-01,  -3.877e+00,   2.902e-02,      -0.106,       0.000,       0.994,   1.806e-03,      0.9727
 172,   1.783e-01,  -3.877e+00,   2.770e-02,      -0.112,       0.000,       0.994,   1.761e-03,      0.9935
 173,   1.664e-01,  -3.877e+00,   2.635e-02,      -0.117,       0.000,       0.993,   1.714e-03,      1.0161
 174,   1.549e-01,  -3.877e+00,   2.497e-02,      -0.123,       0.000,       0.992,   1.665e-03,      1.0408
 175,   1.437e-01,  -3.877e+00,   2.357e-02,      -0.128,       0.000,       0.992,   1.615e-03,      1.0685
 176,   1.329e-01,  -3.877e+00,   2.215e-02,      -0.134,       0.000,       0.991,   1.563e-03,      1.0967
 177,   1.224e-01,  -3.877e+00,   2.073e-02,      -0.139,       0.000,       0.990,   1.509e-03,      1.1277
 178,   1.123e-01,  -3.877e+00,   1.930e-02,      -0.144,       0.000,       0.990,   1.454e-03,      1.1626
 179,   1.026e-01,  -3.877e+00,   1.787e-02,      -0.148,       0.000,       0.989,   1.397e-03,      1.2018
 180,   9.323e-02,  -3.877e+00,   1.647e-02,      -0.153,       0.000,       0.988,   1.339e-03,      1.2460
 181,   8.430e-02,  -3.877e+00,   1.508e-02,      -0.157,       0.000,       0.988,   1.279e-03,      1.2956
 182,   7.578e-02,  -3.877e+00,   1.372e-02,      -0.161,       0.000,       0.987,   1.218e-03,      1.3499
 183,   6.768e-02,  -3.877e+00,   1.239e-02,      -0.165,       0.000,       0.986,   1.156e-03,      1.4127
 184,   6.001e-02,  -3.877e+00,   1.110e-02,      -0.168,       0.000,       0.986,   1.093e-03,      1.4848
 185,   5.277e-02,  -3.877e+00,   9.853e-03,      -0.172,       0.000,       0.985,   1.028e-03,      1.5681
 186,   4.597e-02,  -3.877e+00,   8.663e-03,      -0.175,       0.000,       0.985,   9.620e-04,      1.6654
 187,   3.962e-02,  -3.877e+00,   7.529e-03,      -0.178,       0.000,       0.984,   8.951e-04,      1.7783
 188,   3.372e-02,  -3.877e+00,   6.458e-03,      -0.181,       0.000,       0.984,   8.272e-04,      1.9125
 189,   2.829e-02,  -3.877e+00,   5.455e-03,      -0.183,       0.000,       0.983,   7.584e-04,      2.0742
 190,   2.332e-02,  -3.877e+00,   4.525e-03,      -0.186,       0.000,       0.983,   6.887e-04,      2.2720
 191,   1.882e-02,  -3.877e+00,   3.673e-03,      -0.188,       0.000,       0.982,   6.183e-04,      2.5184
 192,   1.479e-02,  -3.877e+00,   2.903e-03,      -0.189,       0.000,       0.982,   5.472e-04,      2.8331
 193,   1.125e-02,  -3.877e+00,   2.217e-03,      -0.191,       0.000,       0.982,   4.755e-04,      3.2467
 194,   8.181e-03,  -3.877e+00,   1.619e-03,      -0.193,       0.000,       0.981,   4.033e-04,      3.8137
 195,   5.603e-03,  -3.877e+00,   1.112e-03,      -0.194,       0.000,       0.981,   3.306e-04,      4.6366
 196,   3.512e-03,  -3.877e+00,   6.990e-04,      -0.195,       0.000,       0.981,   2.575e-04,      5.9318
 197,   1.911e-03,  -3.877e+00,   3.811e-04,      -0.195,       0.000,       0.981,   1.841e-04,      8.2560
