XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
137,1.52E-01,-3.99E+00,2.46E-02,-0.125,0,0.992,2.21E-04,0.0578,,
138,1.30E-01,-3.99E+00,2.18E-02,-0.136,0,0.991,2.07E-04,0.0295,,
139,1.10E-01,-3.99E+00,1.89E-02,-0.146,0,0.989,1.92E-04,-0.0006,,
140,9.11E-02,-3.99E+00,1.61E-02,-0.155,0,0.988,1.76E-04,-0.0331,,
141,7.38E-02,-3.99E+00,1.34E-02,-0.163,0,0.987,1.60E-04,-0.0714,,
142,5.83E-02,-3.99E+00,1.08E-02,-0.17,0,0.985,1.43E-04,-0.1138,,
143,4.45E-02,-3.99E+00,8.39E-03,-0.176,0,0.984,1.25E-04,-0.1652,,
144,3.25E-02,-3.99E+00,6.22E-03,-0.182,0,0.983,1.07E-04,-0.2324,,
145,2.23E-02,-3.99E+00,4.33E-03,-0.187,0,0.982,8.79E-05,-0.3283,,
146,1.40E-02,-3.99E+00,2.75E-03,-0.19,0,0.982,6.88E-05,-0.4856,,
147,7.63E-03,-3.99E+00,1.51E-03,-0.193,0,0.981,4.94E-05,-0.7748,,
148,3.20E-03,-3.99E+00,6.38E-04,-0.195,0,0.981,2.97E-05,-1.4062,,
149,7.40E-04,-3.99E+00,1.48E-04,-0.196,0,0.981,9.92E-06,-3.5238,,
Strip 4,,,,,,,,,,
150,1.00E+00,-3.98E+00,3.28E-05,0.132,0,0.991,1.37E-05,0.0529,,
151,9.98E-01,-3.98E+00,2.29E-04,0.132,0,0.991,4.11E-05,0.0923,,
152,9.95E-01,-3.98E+00,6.85E-04,0.131,0,0.991,6.83E-05,0.1355,,
153,9.89E-01,-3.98E+00,1.40E-03,0.129,0,0.992,9.53E-05,0.1775,,
154,9.82E-01,-3.98E+00,2.35E-03,0.128,0,0.992,1.22E-04,0.2161,,
155,9.73E-01,-3.98E+00,3.53E-03,0.126,0,0.992,1.48E-04,0.25,,
156,9.62E-01,-3.98E+00,4.93E-03,0.123,0,0.992,1.73E-04,0.2751,,
157,9.49E-01,-3.98E+00,6.52E-03,0.12,0,0.993,1.98E-04,0.2931,,
158,9.34E-01,-3.98E+00,8.29E-03,0.117,0,0.993,2.22E-04,0.3041,,
159,9.18E-01,-3.98E+00,1.02E-02,0.113,0,0.994,2.45E-04,0.3101,,
160,9.00E-01,-3.98E+00,1.23E-02,0.109,0,0.994,2.67E-04,0.3115,,
161,8.80E-01,-3.98E+00,1.44E-02,0.105,0,0.994,2.88E-04,0.3095,,
162,8.59E-01,-3.98E+00,1.66E-02,0.1,0,0.995,3.08E-04,0.3022,,
163,8.36E-01,-3.98E+00,1.88E-02,0.095,0,0.995,3.26E-04,0.2918,,
164,8.13E-01,-3.98E+00,2.11E-02,0.09,0,0.996,3.44E-04,0.2804,,
165,7.87E-01,-3.98E+00,2.33E-02,0.084,0,0.996,3.60E-04,0.2672,,
166,7.61E-01,-3.98E+00,2.55E-02,0.079,0,0.997,3.74E-04,0.2521,,
167,7.34E-01,-3.98E+00,2.76E-02,0.072,0,0.997,3.87E-04,0.2364,,
168,7.06E-01,-3.98E+00,2.96E-02,0.066,0,0.998,3.98E-04,0.2204,,
169,6.77E-01,-3.98E+00,3.15E-02,0.06,0,0.998,4.08E-04,0.2042,,
170,6.47E-01,-3.98E+00,3.32E-02,0.053,0,0.999,4.17E-04,0.1892,,
171,6.17E-01,-3.98E+00,3.48E-02,0.046,0,0.999,4.23E-04,0.1764,,
172,5.86E-01,-3.98E+00,3.61E-02,0.04,0,0.999,4.28E-04,0.1658,,
173,5.55E-01,-3.98E+00,3.73E-02,0.033,0,0.999,4.31E-04,0.1582,,
174,5.24E-01,-3.98E+00,3.83E-02,0.026,0,1,4.33E-04,0.1546,,
175,4.92E-01,-3.98E+00,3.90E-02,0.019,0,1,4.33E-04,0.154,-3.975,0.154
176,4.61E-01,-3.98E+00,3.96E-02,0.012,0,1,4.31E-04,0.1581,,
177,4.30E-01,-3.98E+00,3.99E-02,0.005,0,1,4.28E-04,0.1728,,
178,3.99E-01,-3.98E+00,4.00E-02,-0.005,0,1,4.23E-04,0.1949,,
179,3.68E-01,-3.98E+00,3.97E-02,-0.02,0,1,4.16E-04,0.2009,,
180,3.38E-01,-3.98E+00,3.90E-02,-0.035,0,0.999,4.08E-04,0.2002,,
181,3.09E-01,-3.98E+00,3.79E-02,-0.049,0,0.999,3.98E-04,0.1962,,
182,2.80E-01,-3.98E+00,3.64E-02,-0.063,0,0.998,3.87E-04,0.1871,,
183,2.52E-01,-3.98E+00,3.45E-02,-0.077,0,0.997,3.74E-04,0.1732,,
184,2.26E-01,-3.98E+00,3.24E-02,-0.09,0,0.996,3.60E-04,0.1577,,
185,2.00E-01,-3.98E+00,3.00E-02,-0.103,0,0.995,3.44E-04,0.1374,,
186,1.75E-01,-3.98E+00,2.74E-02,-0.115,0,0.993,3.27E-04,0.1136,,
187,1.52E-01,-3.98E+00,2.46E-02,-0.125,0,0.992,3.09E-04,0.0884,,
188,1.30E-01,-3.98E+00,2.18E-02,-0.136,0,0.991,2.89E-04,0.0576,,
189,1.10E-01,-3.98E+00,1.89E-02,-0.146,0,0.989,2.68E-04,0.0241,,
190,9.11E-02,-3.98E+00,1.61E-02,-0.155,0,0.988,2.46E-04,-0.013,,
191,7.38E-02,-3.98E+00,1.34E-02,-0.163,0,0.987,2.24E-04,-0.058,,
192,5.83E-02,-3.98E+00,1.08E-02,-0.17,0,0.985,2.00E-04,-0.11,,
193,4.45E-02,-3.98E+00,8.39E-03,-0.176,0,0.984,1.75E-04,-0.1754,,
194,3.25E-02,-3.98E+00,6.22E-03,-0.182,0,0.983,1.49E-04,-0.2633,,
195,2.23E-02,-3.98E+00,4.33E-03,-0.187,0,0.982,1.23E-04,-0.3886,,
196,1.40E-02,-3.98E+00,2.75E-03,-0.19,0,0.982,9.62E-05,-0.5828,,
197,7.63E-03,-3.98E+00,1.51E-03,-0.193,0,0.981,6.91E-05,-0.9155,,
198,3.20E-03,-3.98E+00,6.38E-04,-0.195,0,0.981,4.16E-05,-1.6247,,
199,7.40E-04,-3.98E+00,1.48E-04,-0.196,0,0.981,1.39E-05,-4.0252,,
Strip 5,,,,,,,,,,
200,1.00E+00,-3.96E+00,3.28E-05,0.132,0,0.991,1.76E-05,0.044,,
201,9.98E-01,-3.96E+00,2.29E-04,0.132,0,0.991,5.28E-05,0.0767,,
202,9.95E-01,-3.96E+00,6.85E-04,0.131,0,0.991,8.78E-05,0.1126,,
203,9.89E-01,-3.96E+00,1.40E-03,0.129,0,0.992,1.22E-04,0.1481,,
204,9.82E-01,-3.96E+00,2.35E-03,0.128,0,0.992,1.56E-04,0.1821,,
205,9.73E-01,-3.96E+00,3.53E-03,0.126,0,0.992,1.90E-04,0.214,,
206,9.62E-01,-3.96E+00,4.93E-03,0.123,0,0.992,2.23E-04,0.2401,,
207,9.49E-01,-3.96E+00,6.52E-03,0.12,0,0.993,2.54E-04,0.2616,,
208,9.34E-01,-3.96E+00,8.29E-03,0.117,0,0.993,2.85E-04,0.2774,,
209,9.18E-01,-3.96E+00,1.02E-02,0.113,0,0.994,3.15E-04,0.2881,,
210,9.00E-01,-3.96E+00,1.23E-02,0.109,0,0.994,3.43E-04,0.2935,,
211,8.80E-01,-3.96E+00,1.44E-02,0.105,0,0.994,3.70E-04,0.2958,,
212,8.59E-01,-3.96E+00,1.66E-02,0.1,0,0.995,3.95E-04,0.2935,,
213,8.36E-01,-3.96E+00,1.88E-02,0.095,0,0.995,4.19E-04,0.2878,,
214,8.13E-01,-3.96E+00,2.11E-02,0.09,0,0.996,4.41E-04,0.2803,,
215,7.87E-01,-3.96E+00,2.33E-02,0.084,0,0.996,4.62E-04,0.2711,,
216,7.61E-01,-3.96E+00,2.55E-02,0.079,0,0.997,4.80E-04,0.2603,,
